q1,q2,q3,q4,q5,q6,qw,qx,qy,qz,wx,wy,wz
-1.39406409991147e-19,-1.5699999999950196,1.5700000000125376,-1.5699999999842669,-1.569999999999997,-1.0033229603792849e-19,1.0,1.2423614747934732e-09,2.2679640328138865e-09,6.068108366030054e-12,-6.649435425089156e-13,1.0218806778495777e-12,-6.27491492818444e-18
6.737702543119494e-21,-1.5699999999950196,1.5700000000125376,-1.5699999999842669,-1.569999999999997,-5.334169329751401e-20,1.0,1.2423610032812035e-09,2.267963586211919e-09,6.068108357105053e-12,-2.05387392987823e-12,-6.863087523333377e-13,-4.4985580887841885e-18
-3.8281012584560994e-19,-1.5699999999950196,1.5700000000125376,-1.5699999999842669,-1.569999999999997,-8.256652125121654e-20,1.0,1.242361531846274e-09,2.2679648714734193e-09,6.068108351656319e-12,1.9217705781692077e-12,1.2330663370875225e-12,6.385096999494299e-18
-2.5012917462375073e-19,-1.5699999999950196,1.5700000000125376,-1.5699999999842669,-1.569999999999997,-8.856109640226809e-20,1.0,1.2423605295102581e-09,2.2679645982244844e-09,6.068108341341488e-12,4.4005135862655377e-13,2.7613886926635586e-13,-5.329802227012079e-19
-3.646735398338604e-20,-1.5699999999950196,1.5700000000125376,-1.5699999999842669,-1.569999999999997,-9.277201626199553e-20,1.0,1.2423600105019951e-09,2.2679646386163792e-09,6.068108325787082e-12,-3.976261068242686e-12,1.5162282754289593e-12,-1.9129215885172577e-17
-2.4739537045545627e-19,-1.5699999999950196,1.5700000000125376,-1.5699999999842669,-1.569999999999997,-1.7224777111687407e-19,1.0,1.2423619087915661e-09,2.2679642911060075e-09,6.068108327332823e-12,1.9217605861619865e-12,1.233041384825044e-12,1.2550304233115873e-17
-1.8831134687926977e-19,-1.5699999999950196,1.5700000000125376,-1.5699999999842669,-1.569999999999997,-1.315189229179075e-19,1.0,1.2423607261584953e-09,2.267963188490358e-09,6.068108302390181e-12,-9.055035449824386e-13,-1.8310824656574487e-12,-8.658424984176567e-18
2.1134323031548239e-19,-1.5699999999950196,1.5700000000125376,-1.5699999999842669,-1.569999999999997,-5.332034100553743e-20,1.0,1.2423612469275865e-09,2.2679644517553044e-09,6.068108299834957e-12,1.9217801260872194e-12,1.2330167170572161e-12,8.307170610876606e-18
2.4339795513488176e-19,-1.5699999999950196,1.5700000000125376,-1.5699999999842669,-1.569999999999997,-8.727024579630448e-20,1.0,1.2423620786674898e-09,2.2679644523763107e-09,6.068108302627345e-12,1.9216398216524822e-12,1.2330503429370742e-12,1.05067999784152e-17
1.519296048658691e-19,-1.5699999999950196,1.5700000000125376,-1.5699999999842669,-1.569999999999997,1.3912786860947683e-21,1.0,1.2423608959937568e-09,2.2679633497880428e-09,6.068108280658021e-12,-9.054752065397354e-13,-1.8310943034104484e-12,-4.207124544820075e-18
